timestamp,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInUcastPackets,ifOutUcastPackets
1703858100,3380.49568,2876.3900692,0.0,0.0,4.5479732354,4.6468252162
1703858400,3408.8451959,3060.8700041,0.0,0.0,4.6845057548,4.8817049333
1703858700,3378.8649651,2789.8103368,0.0,0.0,4.6593163184,4.7355532012
1703859000,3369.6104774,3007.3877793,0.0,0.0,4.5101573932,4.7237860553
1703859300,3411.7162305,2774.6994364,0.0,0.0,4.4939312701,4.6080648639
1703859600,3363.6445797,2731.5938764,0.0,0.0,4.5534679022,4.5978598427
1703859900,3332.790587,2684.4333761,0.0,0.0,4.4245578414,4.5280791645
1703860200,4692.9229067,4043.0710232,0.0,0.0,8.8296203707,8.943056214
1703860500,3600.118992,3055.5343397,0.0,0.0,5.3047741736,5.4771596413
1703860800,3226.7739548,2602.8141496,0.0,0.0,4.2635618156,4.3817380085
1703861100,3256.0917667,2622.1961531,0.0,0.0,4.3352411583,4.4450565274
1703861400,3277.565353,2708.332446,0.0,0.0,4.5671789208,4.5986199709
1703861700,3210.3099925,2580.8815204,0.0,0.0,4.2741123376,4.3437706063
1703862000,3326.6303464,3145.9885483,0.0,0.0,4.6335648927,4.8622763189
1703862300,3282.9179998,2888.6004462,0.0,0.0,4.5556635847,4.6766502402
1703862600,3227.1444175,2609.55075,0.0,0.0,4.2704145167,4.366890646
1703862900,3240.0983941,2593.7050238,0.0,0.0,4.2971302862,4.3656682188
1703863200,3242.0196674,2631.6622497,0.0,0.0,4.4603270349,4.5090339154
1703863500,7221.0966983,6592.073064,0.0,0.0,18.156076076,18.220035989
1703863800,3886.7439288,3553.3449549,0.0,0.0,6.5787041795,6.6835593997
1703864100,3288.2659503,2715.3147047,0.0,0.0,4.5258457596,4.6040052667
1703864400,3208.896763,2568.0966664,0.0,0.0,4.2344042321,4.3163502554
1703864700,3241.419004,2602.9391591,0.0,0.0,4.309477905,4.3863867276
1703865000,3286.2088217,2963.3355818,0.0,0.0,4.5542047561,4.7152229935
1703865300,3218.5680026,2621.0310228,0.0,0.0,4.2870011763,4.4085638133
1703865600,3227.6632246,2588.66921,0.0,0.0,4.3307497159,4.4088208549
1703865900,3306.5679206,2694.3036516,0.0,0.0,4.5917292996,4.6328691821
1703866200,3188.1779404,2548.347477,0.0,0.0,4.2026299746,4.2682169883
1703866500,3247.7785155,2590.3739559,0.0,0.0,4.2790228559,4.3495667892
1703866800,3297.563128,2689.3205386,0.0,0.0,4.5482498493,4.6123099636
1703867100,3209.4014767,2574.0317815,0.0,0.0,4.279850522,4.3493527384
1703867400,3224.2384862,2595.2554921,0.0,0.0,4.24428403,4.3026856851
1703867700,3266.8320079,2644.3424875,0.0,0.0,4.430879901,4.4815117991
1703868000,3214.6258555,2567.0577299,0.0,0.0,4.2357178214,4.2771331997
1703868300,3228.8216392,2582.7741505,0.0,0.0,4.2892180773,4.3461938477
1703868600,3268.6629313,2647.3733397,0.0,0.0,4.4625503656,4.5024550253
1703868900,3227.7897913,2588.9420581,0.0,0.0,4.2735206016,4.3800187876
1703869200,3232.8452545,2584.5851893,0.0,0.0,4.3283083834,4.4124771639
1703869500,3291.3649443,2674.7096725,0.0,0.0,4.4962912102,4.586811902
1703869800,3191.1805274,2554.1478305,0.0,0.0,4.2394511021,4.3103441907
1703870100,3263.8155605,2604.2302952,0.0,0.0,4.3188069611,4.3951850633
1703870400,3292.3715696,2690.1628929,0.0,0.0,4.6482911795,4.6491584958
1703870700,3211.8355228,2579.4099538,0.0,0.0,4.3158745921,4.3923277496
